checking_status,duration_new,credit_history,purpose,credit_amount,credit_amount_new,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,own_telephone,foreign_worker,class
A11,6,A34,A43,1169,1,A65,A75,4,A93,A101,4,A121,67,A143,A152,2,A173,A192,A201,1
A12,48,A32,A43,5951,2,A61,A73,2,A92,A101,2,A121,22,A143,A152,1,A173,A191,A201,2
A14,12,A34,A43,2096,1,A61,A74,2,A93,A101,3,A121,49,A143,A152,1,A172,A191,A201,1
A11,42,A32,A43,7882,3,A61,A74,2,A93,A103,4,A122,45,A143,A153,1,A173,A191,A201,1
A11,24,A33,A40,4870,2,A61,A73,3,A93,A101,4,A124,53,A143,A153,2,A173,A191,A201,2
A14,20.863454,A32,A43,9055,3,A65,A73,2,A93,A101,4,A124,35,A143,A153,1,A172,A192,A201,1
A14,24,A32,A42,2835,1,A63,A75,3,A93,A101,4,A122,53,A143,A152,1,A173,A191,A201,1
A12,36,A32,A41,6948,3,A61,A73,2,A93,A101,2,A123,35,A143,A151,1,A174,A192,A201,1
A14,12,A32,A43,3059,1,A64,A74,2,A91,A101,4,A121,61,A143,A152,1,A172,A191,A201,1
A12,30,A34,A43,5234,2,A61,A71,4,A94,A101,2,A123,28,A143,A152,2,A174,A191,A201,2
A12,12,A32,A40,1295,1,A61,A72,3,A92,A101,1,A123,25,A143,A151,1,A173,A191,A201,2
A11,20.863454,A32,A49,4308,2,A61,A72,3,A92,A101,4,A122,24,A143,A151,1,A173,A191,A201,2
A12,12,A32,A43,1567,1,A61,A73,1,A92,A101,1,A123,22,A143,A152,1,A173,A192,A201,1
A11,24,A34,A40,1199,1,A61,A75,4,A93,A101,4,A123,60,A143,A152,2,A172,A191,A201,2
A11,20.863454,A32,A40,1403,1,A61,A73,2,A92,A101,4,A123,28,A143,A151,1,A173,A191,A201,1
A11,24,A32,A43,1282,1,A62,A73,4,A92,A101,2,A123,32,A143,A152,1,A172,A191,A201,2
A14,20.863454,A34,A43,2424,1,A65,A75,4,A93,A101,4,A122,53,A143,A152,2,A173,A191,A201,1
A11,30,A30,A49,8072,3,A65,A72,2,A93,A101,3,A123,25,A141,A152,3,A173,A191,A201,1
A12,24,A32,A41,12579,4,A61,A75,4,A92,A101,2,A124,44,A143,A153,1,A174,A192,A201,2
A14,24,A32,A43,3430,1,A63,A75,3,A93,A101,2,A123,31,A143,A152,1,A173,A192,A201,1
A14,9,A34,A40,2134,1,A61,A73,4,A93,A101,4,A123,48,A143,A152,3,A173,A192,A201,1
A11,6,A32,A43,2647,1,A63,A73,2,A93,A101,3,A121,44,A143,A151,1,A173,A191,A201,1
A11,10,A34,A40,2241,1,A61,A72,1,A93,A101,3,A121,48,A143,A151,2,A172,A191,A202,1
A12,12,A34,A41,1804,1,A62,A72,3,A93,A101,4,A122,44,A143,A152,1,A173,A191,A201,1
A14,10,A34,A42,2069,1,A65,A73,2,A94,A101,1,A123,26,A143,A152,2,A173,A191,A202,1
A11,6,A32,A42,1374,1,A61,A73,1,A93,A101,2,A121,36,A141,A152,1,A172,A192,A201,1
A14,6,A30,A43,426,1,A61,A75,4,A94,A101,4,A123,39,A143,A152,1,A172,A191,A201,1
A13,12,A31,A43,409,1,A64,A73,3,A92,A101,3,A121,42,A143,A151,2,A173,A191,A201,1
A12,7,A32,A43,2415,1,A61,A73,3,A93,A103,2,A121,34,A143,A152,1,A173,A191,A201,1
A11,56.9,A33,A49,6836,3,A61,A75,3,A93,A101,4,A124,63,A143,A152,2,A173,A192,A201,2
A12,18,A32,A49,1913,1,A64,A72,3,A94,A101,3,A121,36,A141,A152,1,A173,A192,A201,1
A11,24,A32,A42,4020,2,A61,A73,2,A93,A101,2,A123,27,A142,A152,1,A173,A191,A201,1
A12,18,A32,A40,5866,2,A62,A73,2,A93,A101,2,A123,30,A143,A152,2,A173,A192,A201,1
A14,12,A34,A49,1264,1,A65,A75,4,A93,A101,4,A124,57,A143,A151,1,A172,A191,A201,1
A13,12,A32,A42,1474,1,A61,A72,4,A92,A101,1,A122,33,A141,A152,1,A174,A192,A201,1
A12,45,A34,A43,4746,2,A61,A72,4,A93,A101,2,A122,25,A143,A152,2,A172,A191,A201,2
A14,48,A34,A46,6110,2,A61,A73,1,A93,A101,3,A124,31,A141,A153,1,A173,A192,A201,1
A13,18,A32,A43,2100,1,A61,A73,4,A93,A102,2,A121,37,A142,A152,1,A173,A191,A201,2
A13,10,A32,A44,1225,1,A61,A73,2,A93,A101,2,A123,37,A143,A152,1,A173,A192,A201,1
A12,9,A32,A43,458,1,A61,A73,4,A93,A101,3,A121,24,A143,A152,1,A173,A191,A201,1
A14,30,A32,A43,2333,1,A63,A75,4,A93,A101,2,A123,30,A141,A152,1,A174,A191,A201,1
A12,12,A32,A43,1158,1,A63,A73,3,A91,A101,1,A123,26,A143,A152,1,A173,A192,A201,1
A12,18,A33,A45,6204,2,A61,A73,2,A93,A101,4,A121,44,A143,A152,1,A172,A192,A201,1
A11,30,A34,A41,6187,2,A62,A74,1,A94,A101,4,A123,24,A143,A151,2,A173,A191,A201,1
A11,48,A34,A41,6143,2,A61,A75,4,A92,A101,4,A124,58,A142,A153,2,A172,A191,A201,2
A14,11,A34,A40,1393,1,A61,A72,4,A92,A101,4,A123,35,A143,A152,2,A174,A191,A201,1
A14,36,A32,A43,2299,1,A63,A75,4,A93,A101,4,A123,39,A143,A152,1,A173,A191,A201,1
A11,6,A32,A41,1352,1,A63,A71,1,A92,A101,2,A122,23,A143,A151,1,A171,A192,A201,1
A14,11,A34,A40,7228,3,A61,A73,1,A93,A101,4,A122,39,A143,A152,2,A172,A191,A201,1
A14,12,A32,A43,2073,1,A62,A73,4,A92,A102,2,A121,28,A143,A152,1,A173,A191,A201,1
A12,24,A33,A42,2333,1,A65,A72,4,A93,A101,2,A122,29,A141,A152,1,A172,A191,A201,1
A12,27,A33,A41,5965,2,A61,A75,1,A93,A101,2,A123,30,A143,A152,2,A174,A192,A201,1
A14,12,A32,A43,1262,1,A61,A73,3,A93,A101,2,A123,25,A143,A152,1,A173,A191,A201,1
A14,18,A32,A41,3378,1,A65,A73,2,A93,A101,1,A122,31,A143,A152,1,A173,A192,A201,1
