region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
2,13,44,1,9,64.0,4,5,0.0,0,2,0,0,1,0,3.7,0.0,0.0,7.5,0.0,37.45,0.0,0.0,110.0,0.0,0,0,0,0,0,0,1,0,0,1.308333,3.208825,3.5723445,2.014903,3.594569,4.158883,1,1
3,11,33,1,7,136.0,5,5,0.0,0,6,1,0,1,1,4.4,20.75,0.0,15.25,35.7,42.0,211.45,0.0,125.0,380.35,0,1,1,0,1,1,1,1,0,1.481605,3.032546,3.5723445,2.72458,3.575151,4.912655,4,1
3,68,52,1,24,116.0,1,29,0.0,1,2,1,0,1,0,18.15,18.0,0.0,30.25,0.0,1300.6,1247.2,0.0,2150.0,0.0,0,0,0,0,1,1,0,1,0,2.898671,2.890372,3.5723445,3.409496,3.594569,4.75359,3,0
2,33,33,0,12,33.0,2,0,0.0,1,1,0,0,0,0,9.45,0.0,0.0,0.0,0.0,288.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2.246015,3.208825,3.5723445,2.847812,3.594569,3.496508,1,1
2,23,30,1,9,30.0,1,2,0.0,0,4,0,0,0,0,6.3,0.0,0.0,0.0,0.0,157.05,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,1,0,1.84055,3.208825,3.5723445,2.847812,3.594569,3.401197,3,0
2,41,39,0,17,78.0,2,16,0.0,1,1,1,0,1,0,11.8,19.25,0.0,13.5,0.0,487.4,798.4,0.0,570.0,0.0,0,0,0,0,1,1,0,0,0,2.4681,2.957511,3.5723445,2.60269,3.594569,4.356709,3,0
3,45,22,1,2,19.0,2,4,0.0,1,5,0,0,1,0,10.9,0.0,0.0,8.75,0.0,504.5,0.0,0.0,415.0,0.0,1,0,0,1,0,1,0,0,1,2.388763,3.208825,3.5723445,2.169054,3.594569,2.944439,2,1
2,38,35,0,5,76.0,2,10,0.0,0,3,1,1,1,1,6.05,45.0,50.1,23.25,64.9,239.55,1873.05,1820.9,880.0,2256.7,1,1,1,1,1,1,1,1,1,1.800058,3.806662,3.914021,3.146305,4.172848,4.330733,4,0
3,45,59,1,7,166.0,4,31,0.0,0,5,1,0,1,0,9.75,28.5,0.0,12.0,0.0,449.05,1240.15,0.0,505.0,0.0,1,0,0,0,1,1,1,1,0,2.277267,3.349904,3.5723445,2.484907,3.594569,5.111988,3,0
1,68,41,1,21,72.0,1,22,0.0,0,3,0,0,1,0,24.15,0.0,0.0,16.5,0.0,1659.7,0.0,0.0,1155.0,0.0,1,0,0,0,0,0,0,0,0,3.184284,3.208825,3.5723445,2.80336,3.594569,4.276666,2,0
2,5,33,0,10,125.0,4,5,0.0,1,1,0,1,0,0,4.85,0.0,26.15,0.0,0.0,17.25,0.0,110.1,0.0,0.0,0,0,1,1,0,0,0,0,1,1.578979,3.208825,3.263849,2.847812,3.594569,4.828314,1,1
3,7,35,0,14,80.0,2,15,0.0,1,1,1,0,1,0,7.1,22.0,0.0,23.75,0.0,47.45,166.1,0.0,145.0,0.0,0,1,0,0,1,1,1,1,0,1.960095,3.091042,3.5723445,3.167583,3.594569,4.382027,3,0
1,41,38,1,8,37.0,2,9,0.0,1,3,0,0,1,0,8.55,0.0,0.0,41.75,0.0,308.7,0.0,0.0,1650.0,0.0,0,0,0,0,0,0,0,0,0,2.145931,3.208825,3.5723445,3.731699,3.594569,3.610918,1,0
2,57,54,1,30,115.0,4,23,0.0,1,3,1,1,0,1,15.6,46.25,46.7,0.0,61.05,825.35,2624.25,2590.95,0.0,3348.85,1,1,1,1,1,1,1,1,1,2.747271,3.834061,3.843744,2.847812,4.111693,4.744932,4,1
2,9,46,0,3,25.0,1,8,0.0,1,2,0,0,0,0,4.4,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.481605,3.208825,3.5723445,2.847812,3.594569,3.218876,1,0
1,29,38,1,12,75.0,5,1,0.0,0,4,0,1,1,0,5.1,0.0,30.25,11.25,0.0,146.25,0.0,780.8,295.0,0.0,1,0,0,1,0,0,0,0,0,1.629241,3.208825,3.409496,2.420368,3.594569,4.317488,2,0
3,60,57,0,38,162.0,2,30,0.0,0,1,1,1,1,0,16.15,29.75,31.3,30.0,0.0,946.9,1767.6,1788.95,1795.0,0.0,1,0,0,0,1,1,1,1,0,2.78192,3.392829,3.443618,3.401197,3.594569,5.087596,3,0
3,34,48,0,3,49.0,2,6,0.0,1,3,1,0,0,0,6.65,18.5,0.0,0.0,0.0,230.8,614.3,0.0,0.0,0.0,0,0,0,0,0,1,1,1,0,1.894617,2.917771,3.5723445,2.847812,3.594569,3.89182,3,0
2,1,24,0,3,20.0,1,3,0.0,0,1,0,0,0,0,1.05,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.04879,3.208825,3.5723445,2.847812,3.594569,2.995732,1,0
1,26,29,1,3,77.0,4,2,0.0,0,4,0,1,1,1,6.7,0.0,48.1,24.25,38.3,140.95,0.0,1132.8,610.0,910.1,1,1,0,1,1,1,1,1,1,1.902108,3.208825,3.873282,3.188417,3.64545,4.343805,4,1
3,6,30,0,7,16.0,3,1,0.0,1,1,0,1,0,1,3.75,0.0,33.8,0.0,18.7,25.65,0.0,175.3,0.0,78.2,1,0,1,1,0,1,0,0,0,1.321756,3.208825,3.520461,2.847812,2.928524,2.772589,2,1
1,68,52,1,17,120.0,1,24,0.0,0,2,0,0,1,0,20.7,0.0,0.0,22.0,0.0,1391.05,0.0,0.0,1505.0,0.0,0,0,0,0,0,0,1,0,0,3.030134,3.208825,3.5723445,3.091042,3.594569,4.787492,1,0
3,53,33,0,10,101.0,5,4,0.0,1,2,0,1,1,1,5.3,0.0,49.6,26.75,51.4,253.35,0.0,2499.8,1340.0,2645.15,1,1,0,1,0,1,1,1,1,1.667707,3.208825,3.903991,3.286534,3.939638,4.615121,4,0
3,55,48,1,19,67.0,1,25,0.0,0,3,0,0,1,0,15.05,0.0,0.0,27.25,0.0,810.45,0.0,0.0,1390.0,0.0,0,0,0,0,0,0,0,0,0,2.711378,3.208825,3.5723445,3.305054,3.594569,4.204693,1,0
3,14,43,1,18,36.0,1,5,0.0,0,5,1,0,1,0,12.5,19.75,0.0,18.0,0.0,153.75,273.75,0.0,215.0,0.0,0,0,0,0,1,1,1,1,0,2.525729,2.983153,3.5723445,2.890372,3.594569,3.583519,3,0
2,1,21,0,0,33.0,2,0,0.0,1,3,1,0,1,0,2.2,20.75,0.0,40.5,0.0,2.2,20.75,0.0,40.5,0.0,0,0,0,0,0,1,1,1,0,0.788457,3.032546,3.5723445,3.701302,3.594569,3.496508,3,0
2,42,40,0,7,37.0,2,8,0.0,1,1,1,1,1,1,8.25,23.5,36.9,28.0,37.4,399.15,950.65,1532.9,1190.0,1562.0,1,1,0,1,1,1,0,1,1,2.110213,3.157,3.608212,3.332205,3.621671,3.610918,4,0
3,25,33,1,11,31.0,1,5,0.0,0,4,0,0,0,0,9.1,0.0,0.0,0.0,0.0,234.95,0.0,0.0,0.0,0.0,1,0,0,0,1,0,1,0,0,2.208274,3.208825,3.5723445,2.847812,3.594569,3.433987,3,0
1,9,21,1,1,17.0,2,2,0.0,1,3,0,0,0,0,2.9,0.0,0.0,0.0,0.0,25.25,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.064711,3.208825,3.5723445,2.847812,3.594569,2.833213,1,0
2,13,33,1,9,19.0,4,0,0.0,1,2,0,1,0,0,5.55,0.0,27.35,0.0,0.0,75.25,0.0,330.65,0.0,0.0,1,0,0,1,0,0,0,1,1,1.713798,3.208825,3.308717,2.847812,3.594569,2.944439,2,0
1,56,37,1,6,36.0,1,13,0.0,1,2,0,1,1,0,10.6,0.0,31.1,18.25,0.0,582.6,0.0,1756.35,1005.0,0.0,1,0,0,1,0,0,0,0,1,2.360854,3.208825,3.437208,2.904165,3.594569,3.583519,2,0
1,71,53,1,27,155.0,5,12,0.0,0,2,1,0,1,1,21.0,56.0,0.0,34.0,49.95,1519.2,4064.3,0.0,2345.0,3646.9,1,1,0,1,0,0,1,1,1,3.044522,4.025352,3.5723445,3.526361,3.911023,5.043425,4,0
1,35,50,1,26,140.0,2,21,0.0,1,4,1,0,1,0,6.5,27.5,0.0,35.0,0.0,247.55,1068.25,0.0,1215.0,0.0,0,0,0,0,0,1,1,1,0,1.871802,3.314186,3.5723445,3.555348,3.594569,4.941642,3,0
1,11,27,1,8,55.0,5,0,0.0,0,3,0,1,0,0,4.8,0.0,19.55,0.0,0.0,54.1,0.0,220.4,0.0,0.0,1,0,0,1,0,0,0,0,0,1.568616,3.208825,2.972975,2.847812,3.594569,4.007333,2,0
2,60,46,1,13,163.0,3,24,0.0,0,2,1,1,1,1,33.9,38.25,44.65,13.75,55.25,1947.95,2326.35,2645.85,840.0,3125.95,1,1,1,1,0,1,1,1,1,3.523415,3.644144,3.798854,2.621039,4.011868,5.09375,4,0
3,20,35,1,11,52.0,4,0,0.0,0,2,0,1,0,0,4.25,0.0,30.55,0.0,0.0,82.7,0.0,547.15,0.0,0.0,1,0,0,1,0,0,0,0,1,1.446919,3.208825,3.419365,2.847812,3.594569,3.951244,2,1
2,54,60,0,38,211.0,4,25,0.0,0,1,1,1,1,1,21.15,39.25,46.35,54.25,54.85,1228.7,2102.25,2421.3,2785.0,2895.85,1,1,1,1,1,0,0,1,1,3.05164,3.669951,3.836221,3.993603,4.004602,5.351858,4,0
1,44,57,1,1,186.0,2,17,0.0,0,2,1,0,1,1,9.8,33.5,0.0,36.0,41.65,428.25,1379.55,0.0,1535.0,1826.7,1,1,0,0,1,1,1,1,0,2.282382,3.511545,3.5723445,3.583519,3.729301,5.225747,3,0
1,11,41,1,0,39.0,1,1,0.0,1,2,1,0,1,0,6.55,29.25,0.0,19.75,0.0,67.8,303.65,0.0,200.0,0.0,0,1,0,0,1,1,1,1,0,1.879465,3.37588,3.5723445,2.983153,3.594569,3.663562,3,1
2,72,57,0,34,22.0,2,35,1.0,1,1,1,0,1,0,41.75,49.0,0.0,18.75,0.0,3043.05,3581.0,0.0,1360.0,0.0,1,0,0,0,1,1,1,1,0,3.731699,3.89182,3.5723445,2.931194,3.594569,3.091042,3,0
3,10,41,0,7,30.0,1,7,0.0,0,1,1,0,1,0,2.5,19.25,0.0,53.75,0.0,31.25,178.2,0.0,490.0,0.0,0,0,0,0,1,1,1,1,0,0.916291,2.957511,3.5723445,3.984344,3.594569,3.401197,3,0
2,15,28,0,0,29.0,2,4,0.0,1,1,1,0,1,0,4.25,30.0,0.0,17.75,0.0,78.0,426.05,0.0,255.0,0.0,0,0,0,0,1,1,1,1,0,1.446919,3.401197,3.5723445,2.876386,3.594569,3.367296,3,0
2,27,28,1,4,23.0,2,8,0.0,0,5,0,0,0,0,6.2,0.0,0.0,0.0,0.0,180.15,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1.824549,3.208825,3.5723445,2.847812,3.594569,3.135494,1,0
1,9,36,1,14,62.0,4,10,0.0,0,6,0,1,0,1,5.65,0.0,46.75,0.0,48.5,43.3,0.0,386.6,0.0,364.85,1,1,1,1,0,0,0,1,1,1.731656,3.208825,3.844814,2.847812,3.881564,4.127134,4,1
1,64,43,1,20,76.0,4,20,0.0,1,4,1,0,1,0,14.7,18.75,0.0,11.0,0.0,897.05,1279.25,0.0,680.0,0.0,1,0,0,0,1,1,0,1,0,2.687847,2.931194,3.5723445,2.397895,3.594569,4.330733,3,0
1,65,41,1,3,74.0,4,16,0.0,0,2,0,1,1,0,14.5,0.0,37.0,17.0,0.0,963.3,0.0,2263.05,1065.0,0.0,1,1,0,1,0,0,0,0,1,2.674149,3.208825,3.610918,2.833213,3.594569,4.304065,2,0
1,49,51,1,27,63.0,4,19,0.0,0,5,1,0,1,0,12.85,25.75,0.0,14.25,0.0,585.6,1278.45,0.0,635.0,0.0,1,0,0,1,0,1,0,0,1,2.553344,3.248435,3.5723445,2.656757,3.594569,4.143135,2,0
3,47,41,1,0,36.0,4,8,0.0,0,2,0,1,1,1,7.75,0.0,37.45,18.5,38.8,361.0,0.0,1717.75,845.0,1730.4,1,0,1,1,0,1,0,1,1,2.047693,3.208825,3.623007,2.917771,3.65842,3.583519,4,1
3,9,34,1,9,33.0,2,8,0.0,1,4,0,1,0,0,2.95,0.0,22.95,0.0,0.0,18.9,0.0,208.55,0.0,0.0,0,0,0,0,0,0,0,0,0,1.081805,3.208825,3.133318,2.847812,3.594569,3.496508,1,1
1,5,36,0,14,29.0,2,9,0.0,1,1,1,0,1,1,3.25,31.5,0.0,15.5,26.75,16.8,154.65,0.0,60.0,98.6,0,0,0,1,1,1,1,1,1,1.178655,3.449988,3.5723445,2.74084,3.286534,3.367296,3,1
2,30,34,1,4,27.0,2,1,0.0,0,5,0,1,0,0,6.3,0.0,22.5,0.0,0.0,150.9,0.0,690.75,0.0,0.0,0,0,0,1,0,0,0,0,0,1.84055,3.208825,3.113515,2.847812,3.594569,3.295837,1,1
1,56,52,1,28,49.0,2,12,0.0,0,4,0,0,1,0,24.75,0.0,0.0,22.25,0.0,1349.05,0.0,0.0,1215.0,0.0,1,0,0,0,0,0,0,0,0,3.208825,3.208825,3.5723445,3.102342,3.594569,3.89182,2,0
3,10,22,0,0,24.0,4,0,0.0,0,1,1,1,1,1,7.8,23.75,37.25,22.5,30.05,63.0,222.55,330.4,185.0,306.3,1,1,1,1,1,1,1,1,1,2.054124,3.167583,3.617652,3.113515,3.402863,3.178054,4,0
1,7,26,1,3,26.0,2,2,0.0,0,5,1,0,0,0,4.85,15.5,0.0,0.0,0.0,33.7,136.55,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,1.578979,2.74084,3.5723445,2.847812,3.594569,3.258097,1,0
1,52,27,0,6,47.0,3,5,0.0,0,2,1,0,1,0,6.25,18.5,0.0,14.25,0.0,330.4,942.65,0.0,725.0,0.0,0,0,0,0,1,0,0,0,1,1.832581,2.917771,3.5723445,2.656757,3.594569,3.850148,1,0
2,36,45,1,1,94.0,2,18,0.0,1,5,1,1,0,0,7.2,15.75,28.35,0.0,0.0,258.75,553.8,1043.8,0.0,0.0,0,0,1,1,1,0,0,1,0,1.974081,2.75684,3.344627,2.847812,3.594569,4.543295,1,1
3,27,34,0,8,21.0,3,4,0.0,1,1,0,0,0,0,7.65,0.0,0.0,0.0,0.0,213.45,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,2.034706,3.208825,3.5723445,2.847812,3.594569,3.044522,2,0
1,58,62,1,36,27.0,1,0,0.0,0,2,0,0,1,0,15.5,0.0,0.0,34.5,0.0,967.1,0.0,0.0,1910.0,0.0,0,0,0,0,0,0,0,0,0,2.74084,3.208825,3.5723445,3.540959,3.594569,3.295837,1,0
2,41,52,0,27,30.0,2,2,0.0,1,1,1,0,1,1,10.4,28.0,0.0,19.0,27.5,447.85,1152.0,0.0,800.0,1036.65,0,0,0,0,1,1,1,1,0,2.341806,3.332205,3.5723445,2.944439,3.314186,3.401197,3,0
2,47,40,1,16,127.0,4,12,0.0,1,4,0,1,1,0,19.7,0.0,28.15,14.75,0.0,909.9,0.0,1319.7,680.0,0.0,1,0,0,1,0,0,0,0,1,2.980619,3.208825,3.337547,2.691243,3.594569,4.844187,2,0
2,55,39,1,15,137.0,2,20,0.0,1,2,1,0,1,0,12.7,27.5,0.0,11.5,0.0,676.9,1505.2,0.0,620.0,0.0,0,1,0,0,1,1,1,1,0,2.541602,3.314186,3.5723445,2.442347,3.594569,4.919981,3,1
2,56,50,1,1,80.0,2,24,0.0,1,4,1,0,1,1,28.8,55.5,0.0,21.25,61.1,1558.1,3119.45,0.0,1065.0,3268.05,1,1,1,0,1,1,1,1,0,3.360375,4.016383,3.5723445,3.056357,4.112512,4.382027,4,0
3,35,55,0,24,30.0,2,2,0.0,0,1,0,0,1,0,10.25,0.0,0.0,15.75,0.0,395.85,0.0,0.0,550.0,0.0,0,0,0,0,0,0,0,0,0,2.327278,3.208825,3.5723445,2.75684,3.594569,3.401197,1,0
2,69,51,1,11,438.0,4,23,0.0,1,2,0,1,1,0,29.0,0.0,47.05,24.75,0.0,1815.4,0.0,3064.15,1655.0,0.0,1,0,1,1,1,0,0,1,0,3.367296,3.208825,3.851211,3.208825,3.594569,6.082219,4,0
2,44,39,0,16,79.0,2,16,0.0,0,1,1,1,1,1,15.25,24.5,37.45,27.25,30.05,653.7,1037.45,1610.1,1110.0,1280.0,1,0,1,1,1,1,1,1,1,2.72458,3.198673,3.623007,3.305054,3.402863,4.369448,4,1
3,36,47,1,16,63.0,1,23,0.0,0,2,0,0,1,0,9.05,0.0,0.0,6.75,0.0,373.65,0.0,0.0,220.0,0.0,0,0,0,0,0,0,0,0,0,2.202765,3.208825,3.5723445,1.909543,3.594569,4.143135,1,0
3,28,51,1,22,40.0,3,10,0.0,1,6,1,0,0,0,8.95,21.25,0.0,0.0,0.0,253.55,586.95,0.0,0.0,0.0,0,0,0,0,1,1,1,1,0,2.191654,3.056357,3.5723445,2.847812,3.594569,3.688879,3,0
1,72,67,1,44,51.0,1,34,1.0,0,2,1,0,1,0,57.05,51.5,0.0,19.25,0.0,4168.25,3657.9,0.0,1345.0,0.0,1,0,0,0,1,1,1,1,0,4.043928,3.941582,3.5723445,2.957511,3.594569,3.931826,3,0
1,16,27,0,5,37.0,3,5,0.0,0,4,0,0,0,0,6.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.791759,3.208825,3.5723445,2.847812,3.594569,3.610918,1,0
